"pitcher","pithand","pit_kpct","pit_fbpct","pit_1Bpct","pit_2Bpct","pit_3Bpct","pit_HRpct","pit_ipoutpct","pit_pa","last","first","nickname","name"
"lasoj001","L",0.189189189189189,0.0810810810810811,0.175675675675676,0,0,0.0540540540540541,0.5,74,"La Sorsa","Joseph Peter","Joe","Joe La Sorsa"
"herzd001","L",0.277486910994764,0.102094240837696,0.138743455497382,0.0287958115183246,0.00261780104712042,0.0287958115183246,0.421465968586387,382,"Herz","Davidjohn Patrick","DJ","DJ Herz"
"crisj001","R",0.310344827586207,0.114942528735632,0.137931034482759,0.0459770114942529,0,0.0459770114942529,0.344827586206897,87,"Criswell","Jeffrey Kelley","Jeff","Jeff Criswell"
"peral001","L",0.285714285714286,0.142857142857143,0.122448979591837,0.0204081632653061,0,0,0.428571428571429,49,"Peralta","Luis David","Luis","Luis Peralta"
"halvs001","R",0.282608695652174,0.0652173913043478,0.130434782608696,0,0,0.0434782608695652,0.478260869565217,46,"Halvorsen","Seth Michael","Seth","Seth Halvorsen"
"martn002","R",0.203508771929825,0.0403508771929825,0.142105263157895,0.056140350877193,0.00350877192982456,0.0228070175438597,0.531578947368421,570,"Martinez","Nicholas","Nick","Nick Martinez"
"gratb002","R",0.259259259259259,0.0740740740740741,0.111111111111111,0,0,0,0.555555555555556,27,"Graterol","Brusdar Javier","Brusdar","Brusdar Graterol"
"rojam002","R",0,0,0.25,0,0,0,0.75,4,"Rojas","Miguel Elias (Naidernoff)","Miguel","Miguel Rojas"
"singb001","R",0.223097112860892,0.083989501312336,0.152230971128609,0.0446194225721785,0.00393700787401575,0.0288713910761155,0.463254593175853,762,"Singer","Brady Alan","Brady","Brady Singer"
"hernc006","R",0.209302325581395,0.131782945736434,0.116279069767442,0.062015503875969,0,0.00775193798449612,0.472868217054264,129,"Hernandez","Carlos Eduardo (Pino)","Carlos","Carlos Hernandez"
"longs002","L",0.25,0.102272727272727,0.130681818181818,0.0340909090909091,0,0.0284090909090909,0.454545454545455,176,"Long","Samuel Trenton","Sammy","Sammy Long"
"zerpa001","L",0.205020920502092,0.0878661087866109,0.184100418410042,0.0334728033472803,0.00418410041841004,0.0251046025104603,0.460251046025105,239,"Zerpa","Angel David (Palacios)","Angel","Angel Zerpa"
"bubik001","L",0.322314049586777,0.0413223140495868,0.148760330578512,0.0413223140495868,0.00826446280991736,0.0165289256198347,0.421487603305785,121,"Bubic","Kristofer Sime","Kris","Kris Bubic"
"megit002","R",0.270029673590504,0.106824925816024,0.136498516320475,0.0445103857566766,0.0029673590504451,0.0237388724035608,0.415430267062315,337,"Megill","Tylor J","Tylor","Tylor Megill"
"luccj001","L",0.152173913043478,0.173913043478261,0.0869565217391304,0.0652173913043478,0,0.0217391304347826,0.5,46,"Lucchesi","Joseph George","Joey","Joey Lucchesi"
"burnc002","R",0.230867346938776,0.0637755102040816,0.154336734693878,0.0267857142857143,0.00127551020408163,0.0280612244897959,0.494897959183673,784,"Burnes","Corbin Brian","Corbin","Corbin Burnes"
"perec004","L",0.19327731092437,0.138655462184874,0.138655462184874,0.0504201680672269,0.00840336134453781,0,0.470588235294118,238,"Perez","Cionel Felix","Cionel","Cionel Perez"
"wellt003","R",0.194029850746269,0.0447761194029851,0.149253731343284,0.0597014925373134,0.0149253731343284,0.0447761194029851,0.492537313432836,67,"Wells","Tyler Austin","Tyler","Tyler Wells"
"irvic001","L",0.158536585365854,0.0711382113821138,0.164634146341463,0.0569105691056911,0.0101626016260163,0.0365853658536585,0.502032520325203,492,"Irvin","Cole Rj","Cole","Cole Irvin"
"heasj001","R",0.137931034482759,0.137931034482759,0.275862068965517,0,0,0.0689655172413793,0.379310344827586,29,"Heasley","Jonathan Paul","Jon","Jon Heasley"
"bukaj001","R",0.272727272727273,0.0454545454545455,0.0909090909090909,0,0,0.0454545454545455,0.545454545454545,22,"Bukauskas","Jacob Allen","J.B.","J.B. Bukauskas"
"uriba001","R",0.212121212121212,0.181818181818182,0.181818181818182,0.0151515151515152,0.0151515151515152,0.0151515151515152,0.378787878787879,66,"Uribe","Abner Brismaury","Abner","Abner Uribe"
"varll001","R",0.205882352941176,0.0840336134453782,0.201680672268908,0.0336134453781513,0,0.0504201680672269,0.42436974789916,238,"Varland","Louis Dennis","Louie","Louie Varland"
"stewb001","R",0.298507462686567,0.119402985074627,0.149253731343284,0.0447761194029851,0,0.0298507462686567,0.358208955223881,67,"Stewart","Brock Allen","Brock","Brock Stewart"
"schmc002","R",0.263456090651558,0.110481586402266,0.141643059490085,0.0311614730878187,0.0056657223796034,0.0226628895184136,0.424929178470255,353,"Schmidt","Clarke Douglas","Clarke","Clarke Schmidt"
"bradk001","R",0.325153374233129,0.110429447852761,0.104294478527607,0.0368098159509202,0.0122699386503067,0.0122699386503067,0.398773006134969,163,"Bradish","Kyle Edward","Kyle","Kyle Bradish"
"marir001","R",0.252525252525253,0.131313131313131,0.101010101010101,0.0404040404040404,0,0.0404040404040404,0.434343434343434,99,"Marinaccio","Ronald James","Ron","Ron Marinaccio"
"meanj001","L",0.2,0.0375,0.1125,0.05,0.0125,0.025,0.5625,80,"Means","John Alan","John","John Means"
"garcy001","R",0.320261437908497,0.0915032679738562,0.065359477124183,0.0457516339869281,0,0.0392156862745098,0.437908496732026,153,"Garcia","Yimi","Yimi","Yimi Garcia"
"romaj004","R",0.209677419354839,0.0806451612903226,0.145161290322581,0.0483870967741935,0,0.0645161290322581,0.451612903225806,62,"Romano","Jordan Robert","Jordan","Jordan Romano"
"mayzt001","L",0.143589743589744,0.0820512820512821,0.179487179487179,0.0615384615384615,0.0102564102564103,0.0256410256410256,0.497435897435897,195,"Mayza","Timothy Gerard","Tim","Tim Mayza"
"boltc001","R",0.204819277108434,0.108433734939759,0.132530120481928,0.036144578313253,0.0120481927710843,0.036144578313253,0.469879518072289,83,"Bolton","Carl Donovan","Cody","Cody Bolton"
"sneak001","L",0.145833333333333,0.145833333333333,0.145833333333333,0.0833333333333333,0.0208333333333333,0,0.458333333333333,48,"Snead","William Kirby","Kirby","Kirby Snead"
"speig001","L",0.317307692307692,0.153846153846154,0.125,0.0384615384615385,0,0.0192307692307692,0.346153846153846,104,"Speier","Gabriel James","Gabe","Gabe Speier"
"crisc002","R",0.172169811320755,0.089622641509434,0.162735849056604,0.0518867924528302,0.00471698113207547,0.0235849056603774,0.495283018867925,424,"Criswell","Cooper","Cooper","Cooper Criswell"
"kellb003","R",0.166666666666667,0.0885416666666667,0.145833333333333,0.0572916666666667,0,0.046875,0.494791666666667,192,"Keller","Brad Michael","Brad","Brad Keller"
"bellb002","R",0.217948717948718,0.106837606837607,0.152421652421652,0.0441595441595442,0,0.0270655270655271,0.451566951566952,702,"Bello","Brayan","Brayan","Brayan Bello"
"lover001","L",0.17687074829932,0.0884353741496599,0.170068027210884,0.0408163265306122,0,0.0204081632653061,0.503401360544218,147,"Lovelady","Richard Tyler","Richard","Richard Lovelady"
