"batter","bathand","bat_kpct","bat_fbpct","bat_1Bpct","bat_2Bpct","bat_3Bpct","bat_HRpct","bat_ipoutpct","bat_pa"
"mastm001","L",0.160377358490566,0.0660377358490566,0.150943396226415,0.0283018867924528,0,0,0.594339622641509,106
"madrn001","R",0.106382978723404,0.074468085106383,0.170212765957447,0.0319148936170213,0,0,0.617021276595745,94
"gomey001","R",0.375,0.03125,0.104166666666667,0.0208333333333333,0,0.0208333333333333,0.447916666666667,96
"canaa001","R",0.392857142857143,0.107142857142857,0.178571428571429,0.0357142857142857,0,0.0357142857142857,0.25,28
"smitp002","L",0.19620253164557,0.113924050632911,0.107594936708861,0.069620253164557,0,0.0569620253164557,0.455696202531646,158
"bogax001","R",0.170626349892009,0.0626349892008639,0.185745140388769,0.0323974082073434,0.00215982721382289,0.0237580993520518,0.52267818574514,463
"rosae002","R",0.350877192982456,0.0526315789473684,0.0701754385964912,0.105263157894737,0,0.0526315789473684,0.368421052631579,57
"indij001","R",0.196232339089482,0.149136577708006,0.136577708006279,0.043956043956044,0.00313971742543171,0.0235478806907378,0.447409733124019,637
"delae003","B",0.313218390804598,0.107758620689655,0.127873563218391,0.0517241379310345,0.014367816091954,0.0359195402298851,0.349137931034483,696
"stees001","R",0.208841463414634,0.121951219512195,0.108231707317073,0.0518292682926829,0.00609756097560976,0.0304878048780488,0.472560975609756,656
"stept001","R",0.227184466019417,0.10873786407767,0.139805825242718,0.0504854368932039,0.00194174757281553,0.0368932038834951,0.43495145631068,515
"candj002","B",0.24622030237581,0.0712742980561555,0.110151187904968,0.0496760259179266,0.00431965442764579,0.0431965442764579,0.475161987041037,463
"fordm002","L",0.241935483870968,0.032258064516129,0.112903225806452,0,0.0161290322580645,0.0161290322580645,0.580645161290323,62
"fairs001","R",0.257510729613734,0.0901287553648069,0.124463519313305,0.0343347639484979,0,0.0343347639484979,0.459227467811159,233
"espis001","R",0.138107416879795,0.0664961636828645,0.171355498721228,0.030690537084399,0,0.0230179028132992,0.570332480818414,391
"bensw001","L",0.396907216494845,0.108247422680412,0.0747422680412371,0.0489690721649485,0.00515463917525773,0.0360824742268041,0.329896907216495,388
"fralj001","L",0.183246073298429,0.0759162303664921,0.18586387434555,0.049738219895288,0.00523560209424084,0.0130890052356021,0.486910994764398,382
"capec001","L",0.25,0,0.25,0,0,0,0.5,8
"hurtj001","L",0.264705882352941,0.132352941176471,0.117647058823529,0.0147058823529412,0.0147058823529412,0,0.455882352941176,68
"maill001","R",0.337662337662338,0.11038961038961,0.116883116883117,0.025974025974026,0,0.012987012987013,0.396103896103896,154
"carpk001","L",0.253378378378378,0.0878378378378378,0.121621621621622,0.0540540540540541,0.0168918918918919,0.0608108108108108,0.405405405405405,296
"torks001","R",0.275590551181102,0.0971128608923885,0.112860892388451,0.0551181102362205,0.0026246719160105,0.026246719160105,0.430446194225722,381
"baezj001","R",0.238754325259516,0.0484429065743945,0.110726643598616,0.041522491349481,0,0.0207612456747405,0.539792387543253,289
"chisj001","L",0.244766505636071,0.0917874396135266,0.152979066022544,0.0338164251207729,0.00644122383252818,0.0386473429951691,0.431561996779388,621
"delab001","R",0.273311897106109,0.0514469453376206,0.144694533762058,0.0401929260450161,0,0.0337620578778135,0.456591639871383,622
"bellj005","B",0.199004975124378,0.0945273631840796,0.149253731343284,0.0381426202321725,0.0033167495854063,0.0315091210613599,0.48424543946932,603
"sancj003","L",0.260707635009311,0.0837988826815642,0.147113594040968,0.0465549348230912,0.00186219739292365,0.0335195530726257,0.426443202979516,537
"burgj001","R",0.259067357512953,0.0690846286701209,0.139896373056995,0.0397236614853195,0.00172711571675302,0.0500863557858377,0.440414507772021,579
"gordn001","L",0.243636363636364,0.0436363636363636,0.141818181818182,0.04,0.00363636363636364,0.0290909090909091,0.498181818181818,275
"andet001","R",0.282157676348548,0.029045643153527,0.195020746887967,0.012448132780083,0,0,0.481327800829876,241
"lopeo001","R",0.172811059907834,0.0599078341013825,0.182027649769585,0.0529953917050691,0.00230414746543779,0.0138248847926267,0.516129032258065,434
"fortn001","R",0.122388059701493,0.0447761194029851,0.149253731343284,0.0477611940298507,0,0.0119402985074627,0.623880597014925,335
"myerd001","R",0.333333333333333,0.101851851851852,0.138888888888889,0.0555555555555556,0.00925925925925926,0.0277777777777778,0.333333333333333,108
"rivee001","R",0.228476821192053,0.102649006622517,0.155629139072848,0.0298013245033113,0.00662251655629139,0.0165562913907285,0.460264900662252,302
"bethc001","R",0.244897959183673,0.0408163265306122,0.115646258503401,0.0476190476190476,0,0.0340136054421769,0.517006802721088,147
